CATEGORÍA,PRODUCTO,UNIDAD
ABARROTES,Aceite de oliva La Fina,ml
ABARROTES,Albahaca seca,g
ABARROTES,Azúcar blanca,kg
ABARROTES,Azúcar blanca refinada en sobre,pza
ABARROTES,Azúcar mascabado en sobre,pza
ABARROTES,Base neutra,kg
ABARROTES,Bombón mini blanco,g
ABARROTES,Café en grano Postales,kg
ABARROTES,Café en grano Postales descaf.,kg
ABARROTES,Cajeta diluida CDK,kg
ABARROTES,Canela en polvo McCormick,g
ABARROTES,Caramelo con sal Monin,lt
ABARROTES,Chile chipotle San Marcos,g
ABARROTES,Chocolate Abuelita en polvo,kg
ABARROTES,Chocolate blanco en polvo Da Vinci,kg
ABARROTES,Chocolate obscuro untable CDK,kg
ABARROTES,Chocolate semi amargo Luneta,kg
ABARROTES,Chocolate Turin untable CDK,kg
ABARROTES,Crema de Lotus untable CDK,kg
ABARROTES,Crema de pistache CDK,kg
ABARROTES,Enjambre,g
ABARROTES,Galleta Lotus Biscoff,g
ABARROTES,Galleta Oreo,g
ABARROTES,Galleta Ricanelas,g
ABARROTES,Gloria untable CDK,kg
ABARROTES,Harina de sarraceno,kg
ABARROTES,Harina LCP,paq
ABARROTES,Jarabe de avellana,lt
ABARROTES,Jarabe de caramelo,lt
ABARROTES,Jarabe de vainilla,lt
ABARROTES,Jarabe natural,lt
ABARROTES,Kinder Bueno,pza
ABARROTES,Lechera untable CDK,kg
ABARROTES,Mermelada de fresa,kg
ABARROTES,Mermelada de zarzamora,kg
ABARROTES,Miel de abeja Carlota,ml
ABARROTES,Nuez picada,kg
ABARROTES,Nutella,kg
ABARROTES,Pimienta negra molida,g
ABARROTES,Pistache tostado,g
ABARROTES,Sal fina,kg
ABARROTES,Salsa para pizza marinara,g
ABARROTES,Salsa Pesto Barilla,g
ABARROTES,Splenda en sobre,pza
ABARROTES,Stevia en sobre,pza
ABARROTES,Té Chai Oregon,kg
ABARROTES,Té matcha mascabado,kg
ABARROTES,Tisana Azoyú LCP,kg
ABARROTES,Tisana Ixil LCP,kg
ABARROTES,Tisana Paso de Ovejas,kg
ABARROTES,Untable de pistache,kg
BEBIDAS,Agua Epura,pza
BEBIDAS,Agua mineral Canada Dry,pza
BEBIDAS,Aranciata San Pellegrino,pza
BEBIDAS,Canadá dry,pza
BEBIDAS,Lipton,pza
BEBIDAS,Manzanita Sol,pza
BEBIDAS,Pepsi Light,pza
BEBIDAS,Pepsi Regular,pza
BEBIDAS,Perrier,pza
DESECHABLES,Agitador de bambú 18 cm,pza
DESECHABLES,Bolsa basura compostable gris,pza
DESECHABLES,Bolsa basura compostable verde,pza
DESECHABLES,Bolsa mediana LCP,kg
DESECHABLES,Cofia blanca,pza
DESECHABLES,Cono crepa individual,pza
DESECHABLES,Cono para llevar LCP,pza
DESECHABLES,Cubrebocas tricapa,pza
DESECHABLES,Cuchara desechable,pza
DESECHABLES,Etiqueta consumo blanca,pza
DESECHABLES,Fajilla de cartón,pza
DESECHABLES,Guantes nitrilo chico,pza
DESECHABLES,Guantes nitrilo grande,pza
DESECHABLES,Hoja de polipapel,kg
DESECHABLES,Manga desechable,pza
DESECHABLES,Popote estuchado GDL,pza
DESECHABLES,Portavaso 4 cavidades,pza
DESECHABLES,Rollo bolsa transparente,pza
DESECHABLES,Rollo térmico 80x70 mm,pza
DESECHABLES,Servilleta 24x24 LCP,paq
DESECHABLES,Tapa PET 20 oz transparente,pza
DESECHABLES,Tapa PET blanca caliente 16 oz,pza
DESECHABLES,Tapa PET DOM 20 oz,pza
DESECHABLES,Tapa vaso 4 oz,pza
DESECHABLES,Toalla en rollo,pza
DESECHABLES,Toalla Whiper,pza
DESECHABLES,Toallas interdobladas,pza
DESECHABLES,Vaso 20 oz frío,pza
DESECHABLES,Vaso bebida caliente 16 oz,pza
DESECHABLES,Vaso expresso 4 oz,pza
FRUTAS Y VERDURAS,Champiñones,pza
FRUTAS Y VERDURAS,Espinaca,g
FRUTAS Y VERDURAS,Frambuesa,kg
FRUTAS Y VERDURAS,Fresa,kg
FRUTAS Y VERDURAS,Huevo,kg
FRUTAS Y VERDURAS,Limón,pza
FRUTAS Y VERDURAS,Mix Lechugas,kg
FRUTAS Y VERDURAS,Pepino,pza
FRUTAS Y VERDURAS,Plátano,pza
FRUTAS Y VERDURAS,Tomate cherry,g
FRUTAS Y VERDURAS,Zarzamora,kg
JARCERÍA,Cafiza,kg
JARCERÍA,Fibra esponja Scotch,pza
JARCERÍA,Gel sanitizante,lt
JARCERÍA,Microfibra amarilla,pza
JARCERÍA,Microfibra azul,pza
JARCERÍA,Microfibra verde,pza
JARCERÍA,Piedra pómez para pulir,pza
LÁCTEOS,Leche almendra,lt
LÁCTEOS,Leche avena,lt
LÁCTEOS,Leche deslactosada Lala Bar,lt
LÁCTEOS,Leche deslactosada light Lala Bar,lt
LÁCTEOS,Leche entera Lala Bar,lt
LÁCTEOS,Leche light Lala Bar,lt
REFRIGERADOS,Concentrado de frutos rojos,lt
REFRIGERADOS,Concentrado de guayaba,lt
REFRIGERADOS,Concentrado de limonada rosa,lt
REFRIGERADOS,Concentrado de mango,lt
REFRIGERADOS,Concentrado de mango maracuyá,lt
REFRIGERADOS,Crema batida,g
REFRIGERADOS,Jamón de pavo Lala,kg
REFRIGERADOS,Jugo limón pepino jengibre,lt
REFRIGERADOS,Mantequilla Asturias,kg
REFRIGERADOS,Mermelada de manzana CDK,kg
REFRIGERADOS,Pepperoni,kg
REFRIGERADOS,Prosciutto,pza
REFRIGERADOS,Queso gouda,kg
REFRIGERADOS,Queso mozzarella CDK,kg
REFRIGERADOS,Queso mozzarella fresco Pilarica,kg
REFRIGERADOS,Queso Philadelphia CDK,kg
REFRIGERADOS,Tocino en trocitos,kg
REFRIGERADOS,Yogurt griego natural,kg
